...1,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,1 BULANAN,3 BULANAN KOMBINASI,3 BULANAN PROGESTIN,KOMBINASI,PROGESTIN,KONDOM,1 BATANG,2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,KABUPATEN,KECAMATAN,TAHUN
350,7603020,RUMAH SAKIT BANUA MAMASE,16,0,6,0,2,0,4,0,1,3,0,0,JANUARI,MAMASA,MAMASA,2023
359,760500806,PUSTU BAMBANGAN,3,0,0,3,0,0,0,0,0,0,0,0,JANUARI,MAJENE,MALUNDA,2023
366,760500808,POSKESDES LOMBONG TIMUR,3,0,0,0,3,0,0,0,0,0,0,0,JANUARI,MAJENE,MALUNDA,2023
372,760402208,POSKESDES TUBBI,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,TUTAR,2023
373,760402201,POSKESDES RATTE,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,TUTAR,2023
380,760402203,PUSTU BESOANGIN UTARA,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,POLEWALI MANDAR,TUTAR,2023
403,7605002,PKBRS MAJENE,13,0,3,0,5,0,0,0,4,1,0,0,JANUARI,MAJENE,BANGGAE,2023
409,7605007,PUSKESMAS TOTOLI,17,0,5,2,8,0,2,0,0,0,0,0,JANUARI,MAJENE,BANGGAE,2023
417,7604029,PUSKESMAS WONOMULYO,5,0,1,1,1,0,0,0,1,0,0,1,JANUARI,POLEWALI MANDAR,WONOMULYO,2023
435,7602019,Puskesmas Dungkait,3,0,0,3,0,0,0,0,0,0,0,0,JANUARI,MAMUJU,TAPALANG BARAT,2023
448,760300202,POSKESDES UHAILANU,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMASA,ARALLE,2023
457,7603016,PKM BUNTU MALANGKA,2,1,0,1,0,0,0,0,0,0,0,0,JANUARI,MAMASA,BUNTUMALANGKA,2023
464,760301603,PUSTU PENATANGAN,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,MAMASA,BUNTUMALANGKA,2023
475,7602005,PUSKESMAS RANGAS,8,0,1,3,0,0,0,0,3,1,0,0,JANUARI,MAMUJU,SIMBORO,2023
476,760200501,PUSKESDES SESE SELATAN,2,0,1,0,0,1,0,0,0,0,0,0,JANUARI,MAMUJU,SIMBORO,2023
483,760200407,POSKESDES PATIDDI,1,0,0,0,1,0,0,0,0,0,0,0,JANUARI,MAMUJU,SIMBORO,2023
