...1,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,1 BULANAN,3 BULANAN KOMBINASI,3 BULANAN PROGESTIN,KOMBINASI,PROGESTIN,KONDOM,1 BATANG,2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,KABUPATEN,KECAMATAN,TAHUN
1885,760402807,PUSTU RUMPA,2,0,1,0,0,0,0,0,1,0,0,0,MARET,POLEWALI MANDAR,MAPILLI,2023
1902,760500604,Poskesdes Waigamo,3,0,3,0,0,0,0,0,0,0,0,0,MARET,MAJENE,TAMMERODO SENDANA,2023
1926,7602009,PUSKESMAS BAMBU,11,0,0,9,0,0,0,2,0,0,0,0,MARET,MAMUJU,MAMUJU,2023
1933,760403705,Poskesdes Pulliwa,13,0,1,1,0,0,0,0,11,0,0,0,MARET,POLEWALI MANDAR,BULO,2023
1946,760101201,Pustu Kumasari,0,0,0,0,0,0,0,0,0,0,0,0,MARET,PASANGKAYU,SARUDU,2023
1953,7604018,PUSKESMAS PAMBUSUANG,12,0,0,1,0,0,0,0,9,2,0,0,MARET,POLEWALI MANDAR,BALANIPA,2023
1965,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,MARET,PASANGKAYU,BAMBALAMOTU,2023
1967,760100307,Poskesdes Hikma,1,0,0,0,0,0,0,0,1,0,0,0,MARET,PASANGKAYU,BAMBALAMOTU,2023
1973,760100302,Pustu Kalola,1,0,1,0,0,0,0,0,0,0,0,0,MARET,PASANGKAYU,BAMBALAMOTU,2023
1983,7606010,Puskesmas lara,10,0,0,1,0,0,0,0,9,0,0,0,MARET,MAMUJU TENGAH,KAROSSA,2023
1996,760601002,pustu salubiro,3,0,2,1,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,KAROSSA,2023
2002,7606007,PUSKESMAS TOPOYO,20,0,1,0,0,0,0,0,15,4,0,0,MARET,MAMUJU TENGAH,TOPOYO,2023
2013,760600804,PUSTU TABOLANG,5,0,0,1,4,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,TOPOYO,2023
2018,760600801,PUSTU BAMBAMANURUNG,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,TOPOYO,2023
2037,760403303,Poskesdes Amola,0,0,0,0,0,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,BINUANG,2023
2060,7604020,PUSKESMAS LIMBORO,4,0,2,0,0,0,0,0,2,0,0,0,MARET,POLEWALI MANDAR,LIMBORO,2023
2062,7604023,PUSKESMAS MATANGNGA,10,0,2,0,0,0,0,0,8,0,0,0,MARET,POLEWALI MANDAR,MATANGNGA,2023
2077,7605011,PKM SENDANA II,5,0,0,3,0,0,1,0,1,0,0,0,MARET,MAJENE,TUBO SENDANA,2023
2078,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",4,0,0,0,0,1,0,0,1,2,0,0,MARET,MAJENE,TUBO SENDANA,2023
2083,7603015,PUSKESMAS RANTEBULAHAN TIMUR,1,0,0,0,1,0,0,0,0,0,0,0,MARET,MAMASA,RANTEBULAHAN TIMUR,2023
2095,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMASA,TABANG,2023
2100,7605013,PUSKESMAS SENDANA 1,16,0,0,7,2,0,0,0,6,1,0,0,MARET,MAJENE,SENDANA,2023
2104,760501314,PUSTU TALLU BANUA,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAJENE,SENDANA,2023
2105,760501315,POSKESDES TULLU BULAN,7,0,0,5,2,0,0,0,0,0,0,0,MARET,MAJENE,SENDANA,2023
2109,760501307,PUSTU PUNDAU,1,0,0,0,1,0,0,0,0,0,0,0,MARET,MAJENE,SENDANA,2023
2122,7604034,PUSKESMAS BATUPANGA,14,0,0,0,0,0,0,0,14,0,0,0,MARET,POLEWALI MANDAR,LUYO,2023
2129,760403417,PUSTU BATUPANGA DAALA,0,0,0,0,0,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,LUYO,2023
2134,7604010,PUSKESMAS CAMPALAGIAN,18,0,0,4,0,0,0,0,12,2,0,0,MARET,POLEWALI MANDAR,CAMPALAGIAN,2023
2157,7603004,PUSKESMAS PANA',0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMASA,PANA,2023
2158,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMASA,PANA,2023
2171,7602020,Puskesmas Tampa Padang,25,0,2,1,0,0,0,0,20,2,0,0,MARET,MAMUJU,KALUKKU,2023
2177,7602022,Puskesmas Ranga- Ranga,5,0,3,2,0,0,0,0,0,0,0,0,MARET,MAMUJU,KALUKKU,2023
2197,760500806,PUSTU BAMBANGAN,2,0,0,1,1,0,0,0,0,0,0,0,MARET,MAJENE,MALUNDA,2023
2204,760500808,POSKESDES LOMBONG TIMUR,5,0,0,0,0,0,0,0,0,4,0,1,MARET,MAJENE,MALUNDA,2023
2220,760300202,POSKESDES UHAILANU,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMASA,ARALLE,2023
2263,7601004,UPT PUSKESMAS PASANGKAYU 1,2,0,0,2,0,0,0,0,0,0,0,0,MARET,PASANGKAYU,PASANGKAYU,2023
2266,7601016,RSUD Kabupaten Pasangkayu,39,0,0,0,1,0,2,0,0,23,0,13,MARET,PASANGKAYU,PASANGKAYU,2023
2272,760402208,POSKESDES TUBBI,0,0,0,0,0,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,TUTAR,2023
2273,760402201,POSKESDES RATTE,0,0,0,0,0,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,TUTAR,2023
2280,760402203,PUSTU BESOANGIN UTARA,2,0,0,2,0,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,TUTAR,2023
2288,760404703,PUSTU TAKATIDUNG,5,0,1,1,3,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,POLEWALI,2023
2316,760500303,Poskesdes Buttu Tande,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAJENE,BANGGAE TIMUR,2023
2339,7605002,PKBRS MAJENE,13,0,1,0,2,0,0,0,0,0,0,10,MARET,MAJENE,BANGGAE,2023
2347,7605007,PUSKESMAS TOTOLI,29,0,0,15,10,3,1,0,0,0,0,0,MARET,MAJENE,BANGGAE,2023
2356,7604029,PUSKESMAS WONOMULYO,20,0,1,0,0,0,0,0,10,9,0,0,MARET,POLEWALI MANDAR,WONOMULYO,2023
2380,7602005,PUSKESMAS RANGAS,7,0,2,0,0,0,0,0,4,1,0,0,MARET,MAMUJU,SIMBORO,2023
2381,760200501,PUSKESDES SESE SELATAN,2,0,2,0,0,0,0,0,0,0,0,0,MARET,MAMUJU,SIMBORO,2023
2388,760200407,POSKESDES PATIDDI,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU,SIMBORO,2023
2390,7603016,PKM BUNTU MALANGKA,3,0,0,1,0,0,0,0,2,0,0,0,MARET,MAMASA,BUNTUMALANGKA,2023
2397,760301603,PUSTU PENATANGAN,2,0,0,0,1,1,0,0,0,0,0,0,MARET,MAMASA,BUNTUMALANGKA,2023
2406,7602012,PUSKESMAS TOPORE,44,0,0,0,2,0,0,0,42,0,0,0,MARET,MAMUJU,PAPALANG,2023
2421,7603020,RUMAH SAKIT BANUA MAMASE,8,0,0,0,0,0,0,0,7,1,0,0,MARET,MAMASA,MAMASA,2023
2429,7602019,Puskesmas Dungkait,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU,TAPALANG BARAT,2023
2447,7602030,PKM Bonehau Mesa Kada,1,0,0,0,1,0,0,0,0,0,0,0,MARET,MAMUJU,BONEHAU,2023
2454,7603019,RSUD KONDO SAPATA,1,0,0,0,1,0,0,0,0,0,0,0,MARET,MAMASA,BALLA,2023
2470,760300101,Pustu Sendana,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMASA,MAMBI,2023
2480,760202501,Pustu Kalonding,1,0,1,0,0,0,0,0,0,0,0,0,MARET,MAMUJU,SAMPAGA,2023
2498,760403803,PUSTU PATAMPANUA,4,0,0,4,0,0,0,0,0,0,0,0,MARET,POLEWALI MANDAR,MATAKALI,2023
2505,7601001,UPT PUSKESMAS SARJO,7,0,0,4,1,0,0,0,2,0,0,0,MARET,PASANGKAYU,SARJO,2023
2530,760100704,POSKESDES PAJALELE,1,0,0,0,1,0,0,0,0,0,0,0,MARET,PASANGKAYU,TIKKE RAYA,2023
2531,7601007,UPT PUSKESMAS TIKKE,19,2,12,0,1,0,0,0,4,0,0,0,MARET,PASANGKAYU,TIKKE RAYA,2023
2535,760300608,PUSTU TABONE,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMASA,SUMARORONG,2023
2555,760600504,PUSTU SULOBAJA,2,0,0,1,1,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,TOBADAK,2023
2558,760600501,PUSTU TOBADAK,5,0,0,5,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,TOBADAK,2023
2559,760600502,PUSTU POLONGAAN,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,TOBADAK,2023
2565,760600505,PUSTU BAMBADARU,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,TOBADAK,2023
2622,760100804,POSKESDES BAMBAKORO,3,0,0,0,0,0,0,0,3,0,0,0,MARET,PASANGKAYU,LARIANG,2023
2631,760600402,PKD KM 10,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,BUDONG-BUDONG,2023
2640,760600404,pustu barakkang,0,0,0,0,0,0,0,0,0,0,0,0,MARET,MAMUJU TENGAH,BUDONG-BUDONG,2023
2645,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,MARET,PASANGKAYU,DAPURANG,2023
2669,7601011,UPT PUSKESMAS BARAS 2,6,0,0,2,0,0,0,0,3,1,0,0,MARET,PASANGKAYU,BARAS,2023
2672,760101103,Pustu Towoni,2,0,1,0,0,0,0,0,1,0,0,0,MARET,PASANGKAYU,BARAS,2023
2677,760100207,PUSTU BAMBAIRA,0,0,0,0,0,0,0,0,0,0,0,0,MARET,PASANGKAYU,BAMBAIRA,2023
2689,7601011,UPT PUSKESMAS BARAS 2,1,0,0,1,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,BARAS,2023
2692,760101103,Pustu Towoni,1,0,1,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,BARAS,2023
2697,760100207,PUSTU BAMBAIRA,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,BAMBAIRA,2023
2706,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,DAPURANG,2023
2732,760600402,PKD KM 10,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,BUDONG-BUDONG,2023
2741,760600404,pustu barakkang,2,0,0,1,0,0,0,0,0,0,0,1,APRIL,MAMUJU TENGAH,BUDONG-BUDONG,2023
2779,760600504,PUSTU SULOBAJA,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,TOBADAK,2023
2783,760600501,PUSTU TOBADAK,3,0,0,2,0,1,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,TOBADAK,2023
2785,760600502,PUSTU POLONGAAN,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,TOBADAK,2023
2790,760600505,PUSTU BAMBADARU,1,0,0,1,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,TOBADAK,2023
2807,760202501,Pustu Kalonding,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU,SAMPAGA,2023
2833,760300101,Pustu Sendana,2,0,0,0,0,2,0,0,0,0,0,0,APRIL,MAMASA,MAMBI,2023
2847,7603020,RUMAH SAKIT BANUA MAMASE,6,0,0,3,0,0,0,0,1,2,0,0,APRIL,MAMASA,MAMASA,2023
2863,7602030,PKM Bonehau Mesa Kada,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU,BONEHAU,2023
2873,7602012,PUSKESMAS TOPORE,1,0,0,0,0,0,1,0,0,0,0,0,APRIL,MAMUJU,PAPALANG,2023
2888,7602005,PUSKESMAS RANGAS,5,0,0,2,0,0,0,0,2,1,0,0,APRIL,MAMUJU,SIMBORO,2023
2889,760200501,PUSKESDES SESE SELATAN,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU,SIMBORO,2023
2896,760200407,POSKESDES PATIDDI,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU,SIMBORO,2023
2905,760100804,POSKESDES BAMBAKORO,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,LARIANG,2023
2908,7605002,PKBRS MAJENE,6,0,1,0,0,0,0,0,0,1,0,4,APRIL,MAJENE,BANGGAE,2023
2916,7605007,PUSKESMAS TOTOLI,11,0,0,3,6,0,2,0,0,0,0,0,APRIL,MAJENE,BANGGAE,2023
2925,7602019,Puskesmas Dungkait,2,0,2,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU,TAPALANG BARAT,2023
2935,7603016,PKM BUNTU MALANGKA,1,0,0,1,0,0,0,0,0,0,0,0,APRIL,MAMASA,BUNTUMALANGKA,2023
2942,760301603,PUSTU PENATANGAN,2,0,0,0,0,1,0,0,1,0,0,0,APRIL,MAMASA,BUNTUMALANGKA,2023
2949,760402208,POSKESDES TUBBI,1,0,1,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,TUTAR,2023
2950,760402201,POSKESDES RATTE,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,TUTAR,2023
2957,760402203,PUSTU BESOANGIN UTARA,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,TUTAR,2023
2965,760404703,PUSTU TAKATIDUNG,9,1,0,5,3,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,POLEWALI,2023
2978,760500303,Poskesdes Buttu Tande,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAJENE,BANGGAE TIMUR,2023
3031,760300202,POSKESDES UHAILANU,1,0,0,0,1,0,0,0,0,0,0,0,APRIL,MAMASA,ARALLE,2023
3041,760500806,PUSTU BAMBANGAN,3,0,0,1,1,1,0,0,0,0,0,0,APRIL,MAJENE,MALUNDA,2023
3048,760500808,POSKESDES LOMBONG TIMUR,2,0,0,1,0,0,0,0,0,0,0,1,APRIL,MAJENE,MALUNDA,2023
3052,7603004,PUSKESMAS PANA',0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMASA,PANA,2023
3053,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMASA,PANA,2023
3066,7602020,Puskesmas Tampa Padang,20,0,1,6,6,3,0,2,1,1,0,0,APRIL,MAMUJU,KALUKKU,2023
3072,7602022,Puskesmas Ranga- Ranga,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU,KALUKKU,2023
3097,7603019,RSUD KONDO SAPATA,2,0,0,0,2,0,0,0,0,0,0,0,APRIL,MAMASA,BALLA,2023
3107,7604029,PUSKESMAS WONOMULYO,7,0,0,5,2,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,WONOMULYO,2023
3156,7601004,UPT PUSKESMAS PASANGKAYU 1,2,0,0,2,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,PASANGKAYU,2023
3159,7601016,RSUD Kabupaten Pasangkayu,27,0,0,0,2,0,1,0,0,18,0,6,APRIL,PASANGKAYU,PASANGKAYU,2023
3165,760402807,PUSTU RUMPA,1,0,1,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,MAPILLI,2023
3177,760202603,Poskesdes Kasambang,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU,TAPALANG,2023
3181,760202601,Pustu Taan,6,0,0,4,1,1,0,0,0,0,0,0,APRIL,MAMUJU,TAPALANG,2023
3188,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAJENE,PAMBOANG,2023
3216,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMASA,NOSU,2023
3235,760101201,Pustu Kumasari,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,SARUDU,2023
3242,7604018,PUSKESMAS PAMBUSUANG,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,BALANIPA,2023
3253,760300608,PUSTU TABONE,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMASA,SUMARORONG,2023
3270,760403705,Poskesdes Pulliwa,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,BULO,2023
3281,760403803,PUSTU PATAMPANUA,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,MATAKALI,2023
3315,7604023,PUSKESMAS MATANGNGA,1,0,0,0,0,0,0,0,1,0,0,0,APRIL,POLEWALI MANDAR,MATANGNGA,2023
3324,7604034,PUSKESMAS BATUPANGA,3,0,0,0,0,0,0,0,3,0,0,0,APRIL,POLEWALI MANDAR,LUYO,2023
3331,760403417,PUSTU BATUPANGA DAALA,2,0,2,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,LUYO,2023
3340,760100704,POSKESDES PAJALELE,3,0,0,1,2,0,0,0,0,0,0,0,APRIL,PASANGKAYU,TIKKE RAYA,2023
3341,7601007,UPT PUSKESMAS TIKKE,6,0,3,0,2,0,0,0,1,0,0,0,APRIL,PASANGKAYU,TIKKE RAYA,2023
3344,7601001,UPT PUSKESMAS SARJO,3,0,0,3,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,SARJO,2023
3358,7604020,PUSKESMAS LIMBORO,1,0,0,0,0,0,0,0,1,0,0,0,APRIL,POLEWALI MANDAR,LIMBORO,2023
3366,7605011,PKM SENDANA II,3,0,0,0,0,0,0,0,3,0,0,0,APRIL,MAJENE,TUBO SENDANA,2023
3367,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",1,0,0,1,0,0,0,0,0,0,0,0,APRIL,MAJENE,TUBO SENDANA,2023
3372,7604021,PUSKESMAS TUTALLU,3,0,0,3,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,ALLU,2023
3374,760402103,POSKESDES PAO - PAO,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,ALLU,2023
3395,7602009,PUSKESMAS BAMBU,5,0,1,3,0,0,1,0,0,0,0,0,APRIL,MAMUJU,MAMUJU,2023
3402,7603015,PUSKESMAS RANTEBULAHAN TIMUR,2,0,0,1,0,0,0,0,1,0,0,0,APRIL,MAMASA,RANTEBULAHAN TIMUR,2023
3414,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMASA,TABANG,2023
3419,7605013,PUSKESMAS SENDANA 1,7,0,0,2,3,0,0,0,2,0,0,0,APRIL,MAJENE,SENDANA,2023
3423,760501314,PUSTU TALLU BANUA,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAJENE,SENDANA,2023
3424,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAJENE,SENDANA,2023
3428,760501307,PUSTU PUNDAU,2,0,0,0,2,0,0,0,0,0,0,0,APRIL,MAJENE,SENDANA,2023
3447,760500604,Poskesdes Waigamo,2,0,0,2,0,0,0,0,0,0,0,0,APRIL,MAJENE,TAMMERODO SENDANA,2023
3460,760501002,PUSTU ULUMANDA,4,0,0,2,2,0,0,0,0,0,0,0,APRIL,MAJENE,ULUMANDA,2023
3471,760600203,Poskesdes Tritunggal,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,PANGALE,2023
3473,760600106,Pustu Kuo,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,PANGALE,2023
3476,760600205,Poskesdes Lamba- lamba,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,PANGALE,2023
3477,760600204,Pustu Kombiling,1,0,0,1,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,PANGALE,2023
3480,7601015,UPT PUSKESMAS DURIPOKU,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,DURIPOKU,2023
3486,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,MAMASA,TAWALIAN,2023
3493,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,BAMBALAMOTU,2023
3495,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,BAMBALAMOTU,2023
3501,760100302,Pustu Kalola,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,PASANGKAYU,BAMBALAMOTU,2023
3507,7606007,PUSKESMAS TOPOYO,5,0,1,2,0,0,0,0,2,0,0,0,APRIL,MAMUJU TENGAH,TOPOYO,2023
3518,760600804,PUSTU TABOLANG,3,1,0,1,0,0,1,0,0,0,0,0,APRIL,MAMUJU TENGAH,TOPOYO,2023
3523,760600801,PUSTU BAMBAMANURUNG,1,0,0,1,0,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,TOPOYO,2023
3536,7606010,Puskesmas lara,2,0,0,0,0,0,0,0,2,0,0,0,APRIL,MAMUJU TENGAH,KAROSSA,2023
3549,760601002,pustu salubiro,2,0,0,1,1,0,0,0,0,0,0,0,APRIL,MAMUJU TENGAH,KAROSSA,2023
3565,760403303,Poskesdes Amola,1,0,0,0,1,0,0,0,0,0,0,0,APRIL,POLEWALI MANDAR,BINUANG,2023
3568,7604010,PUSKESMAS CAMPALAGIAN,11,0,0,6,2,0,0,0,1,2,0,0,APRIL,POLEWALI MANDAR,CAMPALAGIAN,2023
3587,760202603,Poskesdes Kasambang,2,0,2,0,0,0,0,0,0,0,0,0,MEI,MAMUJU,TAPALANG,2023
3591,760202601,Pustu Taan,2,0,2,0,0,0,0,0,0,0,0,0,MEI,MAMUJU,TAPALANG,2023
3608,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAMASA,TAWALIAN,2023
3627,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAMASA,NOSU,2023
3632,7604029,PUSKESMAS WONOMULYO,11,0,0,9,0,0,0,0,0,1,0,1,MEI,POLEWALI MANDAR,WONOMULYO,2023
3667,760402208,POSKESDES TUBBI,0,0,0,0,0,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,TUTAR,2023
3668,760402201,POSKESDES RATTE,0,0,0,0,0,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,TUTAR,2023
3675,760402203,PUSTU BESOANGIN UTARA,0,0,0,0,0,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,TUTAR,2023
3684,7602020,Puskesmas Tampa Padang,19,0,0,1,0,0,0,16,0,2,0,0,MEI,MAMUJU,KALUKKU,2023
3690,7602022,Puskesmas Ranga- Ranga,4,0,2,1,1,0,0,0,0,0,0,0,MEI,MAMUJU,KALUKKU,2023
3710,7603019,RSUD KONDO SAPATA,3,0,0,0,0,0,1,0,2,0,0,0,MEI,MAMASA,BALLA,2023
3724,760500303,Poskesdes Buttu Tande,0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAJENE,BANGGAE TIMUR,2023
3750,760300202,POSKESDES UHAILANU,2,0,0,1,1,0,0,0,0,0,0,0,MEI,MAMASA,ARALLE,2023
3763,760404703,PUSTU TAKATIDUNG,13,1,1,7,4,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,POLEWALI,2023
3773,7603015,PUSKESMAS RANTEBULAHAN TIMUR,2,0,0,1,0,0,0,0,1,0,0,0,MEI,MAMASA,RANTEBULAHAN TIMUR,2023
3796,7602009,PUSKESMAS BAMBU,4,0,2,0,1,0,1,0,0,0,0,0,MEI,MAMUJU,MAMUJU,2023
3804,760402807,PUSTU RUMPA,4,0,2,0,0,0,0,0,0,0,0,2,MEI,POLEWALI MANDAR,MAPILLI,2023
3817,760403803,PUSTU PATAMPANUA,0,0,0,0,0,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,MATAKALI,2023
3840,7601001,UPT PUSKESMAS SARJO,16,3,0,9,1,0,0,0,3,0,0,0,MEI,PASANGKAYU,SARJO,2023
3854,7604020,PUSKESMAS LIMBORO,2,0,1,0,0,0,0,0,1,0,0,0,MEI,POLEWALI MANDAR,LIMBORO,2023
3856,7604034,PUSKESMAS BATUPANGA,7,0,6,0,0,1,0,0,0,0,0,0,MEI,POLEWALI MANDAR,LUYO,2023
3863,760403417,PUSTU BATUPANGA DAALA,0,0,0,0,0,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,LUYO,2023
3876,7604021,PUSKESMAS TUTALLU,5,0,1,2,0,1,0,0,1,0,0,0,MEI,POLEWALI MANDAR,ALLU,2023
3878,760402103,POSKESDES PAO - PAO,0,0,0,0,0,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,ALLU,2023
3902,760100704,POSKESDES PAJALELE,1,0,0,0,0,0,0,0,1,0,0,0,MEI,PASANGKAYU,TIKKE RAYA,2023
3903,7601007,UPT PUSKESMAS TIKKE,14,0,8,0,0,0,0,0,6,0,0,0,MEI,PASANGKAYU,TIKKE RAYA,2023
3906,7604023,PUSKESMAS MATANGNGA,0,0,0,0,0,0,0,0,0,0,0,0,MEI,POLEWALI MANDAR,MATANGNGA,2023
3921,7605011,PKM SENDANA II,3,0,0,0,0,1,2,0,0,0,0,0,MEI,MAJENE,TUBO SENDANA,2023
3922,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",1,0,0,0,0,0,0,0,0,1,0,0,MEI,MAJENE,TUBO SENDANA,2023
3937,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAJENE,PAMBOANG,2023
3968,760500604,Poskesdes Waigamo,4,1,0,1,2,0,0,0,0,0,0,0,MEI,MAJENE,TAMMERODO SENDANA,2023
3986,7601004,UPT PUSKESMAS PASANGKAYU 1,1,0,0,0,0,0,0,1,0,0,0,0,MEI,PASANGKAYU,PASANGKAYU,2023
3989,7601016,RSUD Kabupaten Pasangkayu,29,0,0,0,3,0,0,0,0,16,0,10,MEI,PASANGKAYU,PASANGKAYU,2023
4006,760300101,Pustu Sendana,0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAMASA,MAMBI,2023
4015,760500806,PUSTU BAMBANGAN,0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAJENE,MALUNDA,2023
4022,760500808,POSKESDES LOMBONG TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAJENE,MALUNDA,2023
4026,7603004,PUSKESMAS PANA',0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAMASA,PANA,2023
4027,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,MEI,MAMASA,PANA,2023
4040,7603016,PKM BUNTU MALANGKA,6,0,0,2,4,0,0,0,0,0,0,0,MEI,MAMASA,BUNTUMALANGKA,2023
4047,760301603,PUSTU PENATANGAN,5,0,0,2,1,2,0,0,0,0,0,0,MEI,MAMASA,BUNTUMALANGKA,2023
4058,7602005,PUSKESMAS RANGAS,6,0,0,4,0,0,2,0,0,0,0,0,MEI,MAMUJU,SIMBORO,2023
4059,760200501,PUSKESDES SESE SELATAN,2,0,1,0,0,0,0,0,0,0,0,1,MEI,MAMUJU,SIMBORO,2023
