KABUPATEN,KECAMATAN,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,SUNTIK 1 BULANAN,SUNTIK 3 BULANAN KOMBINASI,SUNTIK 3 BULANAN PROGESTIN,PIL KOMBINASI,PIL PROGESTIN,KONDOM,IMPLAN 1 BATANG,IMPLAN 2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,TAHUN
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,3,1,0,1,1,0,0,0,0,0,0,0,JANUARI,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,1,0,0,1,0,0,0,0,0,0,0,0,JANUARI,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,2,0,2,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,1,0,0,0,1,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,3,0,3,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,JANUARI,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,1,0,0,0,1,0,0,0,0,0,0,0,FEBRUARI,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,3,0,0,3,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",1,0,0,0,0,0,0,0,0,1,0,0,FEBRUARI,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,1,0,0,0,1,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,3,0,2,1,0,0,0,0,0,0,0,0,FEBRUARI,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,2,0,0,1,0,0,0,0,1,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,3,0,0,2,1,0,0,0,0,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,47,0,0,5,0,0,3,0,33,6,0,0,FEBRUARI,2024
MAMASA,TABANG,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,5,0,0,2,0,0,0,0,3,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,3,0,0,0,3,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,2,0,0,2,0,0,0,0,0,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,1,0,0,0,1,0,0,0,0,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,5,0,0,4,0,1,0,0,0,0,0,0,FEBRUARI,2024
MAMASA,PANA,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMASA,MAMBI,760300101,Pustu Sendana,3,0,1,0,0,2,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,1,0,0,0,0,0,0,0,1,0,0,0,FEBRUARI,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU,PAPALANG,7602012,PUSKESMAS TOPORE,23,0,0,4,2,0,0,0,17,0,0,0,FEBRUARI,2024
MAJENE,PAMBOANG,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMASA,NOSU,760301305,PUSTU MASEWE,1,0,0,0,0,0,0,0,1,0,0,0,FEBRUARI,2024
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,3,0,0,2,1,0,0,0,0,0,0,0,FEBRUARI,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,1,0,0,1,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,4,0,2,0,2,0,0,0,0,0,0,0,FEBRUARI,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,9,0,1,0,5,1,0,0,2,0,0,0,FEBRUARI,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,2,0,1,1,0,0,0,0,0,0,0,0,FEBRUARI,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,6,0,0,4,0,0,0,0,1,1,0,0,FEBRUARI,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,3,0,0,0,3,0,0,0,0,0,0,0,FEBRUARI,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,6,0,0,3,3,0,0,0,0,0,0,0,FEBRUARI,2024
