KABUPATEN,KECAMATAN,KODE,NAMA FASKES,JUMLAH PESERTA KB BARU,SUNTIK 1 BULANAN,SUNTIK 3 BULANAN KOMBINASI,SUNTIK 3 BULANAN PROGESTIN,PIL KOMBINASI,PIL PROGESTIN,KONDOM,IMPLAN 1 BATANG,IMPLAN 2 BATANG,IUD,VASEKTOMI,TUBEKTOMI,BULAN,TAHUN
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,3,0,0,2,1,0,0,0,0,0,0,0,APRIL,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,4,0,0,0,0,0,0,0,4,0,0,0,APRIL,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,APRIL,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,15,0,0,2,13,0,0,0,0,0,0,0,MEI,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,2,0,0,1,0,0,0,0,0,0,0,1,MEI,2024
MAMASA,TABANG,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,1,0,0,1,0,0,0,0,0,0,0,0,MEI,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMASA,PANA,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,1,0,0,0,0,0,0,0,1,0,0,0,MEI,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,5,0,0,5,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU,PAPALANG,7602012,PUSKESMAS TOPORE,16,0,0,0,0,0,0,2,11,3,0,0,MEI,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,6,1,0,5,0,0,0,0,0,0,0,0,MEI,2024
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,6,0,0,2,1,0,0,0,3,0,0,0,MEI,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,2,0,0,0,0,0,0,0,2,0,0,0,MEI,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,33,0,0,4,2,0,0,0,0,17,0,10,MEI,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,18,0,2,1,10,1,0,0,4,0,0,0,MEI,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,5,0,0,1,0,0,0,0,2,2,0,0,MEI,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,11,0,0,3,0,0,0,2,6,0,0,0,MEI,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,1,0,0,1,0,0,0,0,0,0,0,0,MEI,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,4,0,0,0,1,0,0,0,1,2,0,0,MEI,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU,SIMBORO,7602005,PUSKESMAS RANGAS,5,0,0,2,1,0,0,1,0,1,0,0,MEI,2024
MAMUJU,SIMBORO,760200407,POSKESDES PATIDDI,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMASA,NOSU,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAJENE,PAMBOANG,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,2,0,0,1,1,0,0,0,0,0,0,0,MEI,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,1,0,0,1,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,1,0,0,1,0,0,0,0,0,0,0,0,MEI,2024
MAMASA,MAMBI,760300101,Pustu Sendana,1,0,1,0,0,0,0,0,0,0,0,0,MEI,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,2,0,1,0,0,0,0,0,1,0,0,0,MEI,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,1,0,0,1,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,5,0,0,3,0,0,0,0,2,0,0,0,MEI,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,2,0,0,2,0,0,0,0,0,0,0,0,MEI,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,4,0,0,2,0,0,0,1,1,0,0,0,MEI,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,2,0,0,0,2,0,0,0,0,0,0,0,MEI,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,0,0,0,0,0,0,0,0,0,0,0,0,MEI,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,10,0,0,2,0,0,0,7,1,0,0,0,JUNI,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,5,0,1,0,1,0,0,0,3,0,0,0,JUNI,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,7,0,0,0,1,0,1,0,4,1,0,0,JUNI,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,10,0,5,0,5,0,0,0,0,0,0,0,JUNI,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,19,0,7,1,0,0,0,5,6,0,0,0,JUNI,2024
MAMASA,TABANG,760301004,Pustu Kalama,1,0,1,0,0,0,0,0,0,0,0,0,JUNI,2024
MAMUJU,SIMBORO,7602005,PUSKESMAS RANGAS,35,2,0,1,3,3,19,2,3,2,0,0,JUNI,2024
MAMUJU,SIMBORO,760200407,POSKESDES PATIDDI,19,0,0,2,0,0,17,0,0,0,0,0,JUNI,2024
MAJENE,PAMBOANG,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
MAMUJU,PAPALANG,7602012,PUSKESMAS TOPORE,7,0,0,0,0,0,3,1,3,0,0,0,JUNI,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,3,0,0,0,0,0,1,0,2,0,0,0,JUNI,2024
MAMASA,NOSU,760301305,PUSTU MASEWE,1,0,1,0,0,0,0,0,0,0,0,0,JUNI,2024
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,3,0,0,0,0,0,0,0,3,0,0,0,JUNI,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,1,0,0,1,0,0,0,0,0,0,0,0,JUNI,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,1,0,0,0,0,0,0,1,0,0,0,0,JUNI,2024
MAMASA,MAMBI,760300101,Pustu Sendana,9,0,2,1,5,1,0,0,0,0,0,0,JUNI,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,4,0,0,0,0,0,1,0,3,0,0,0,JUNI,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,2,0,0,0,0,0,1,0,1,0,0,0,JUNI,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,1,0,0,0,1,0,0,0,0,0,0,0,JUNI,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,4,0,2,0,2,0,0,0,0,0,0,0,JUNI,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,8,0,0,0,0,0,0,0,8,0,0,0,JUNI,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,3,0,0,0,0,0,2,0,1,0,0,0,JUNI,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,2,0,0,2,0,0,0,0,0,0,0,0,JUNI,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,4,0,0,0,0,0,0,0,4,0,0,0,JUNI,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,2,0,0,2,0,0,0,0,0,0,0,0,JUNI,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,3,0,0,0,0,0,0,0,3,0,0,0,JUNI,2024
MAMASA,PANA,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,109,0,0,4,19,4,56,0,23,3,0,0,JUNI,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,13,0,0,0,2,0,0,0,9,2,0,0,JUNI,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,5,0,0,0,5,0,0,0,0,0,0,0,JUNI,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,4,0,0,2,1,0,0,0,1,0,0,0,JUNI,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,4,0,0,1,3,0,0,0,0,0,0,0,JUNI,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,63,0,3,2,0,42,14,0,2,0,0,0,JUNI,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,1,0,0,0,1,0,0,0,0,0,0,0,JUNI,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,30,0,0,0,3,0,0,0,0,22,0,5,JUNI,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,59,0,0,0,20,17,21,0,1,0,0,0,JUNI,2024
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,1,0,0,1,0,0,0,0,0,0,0,0,JUNI,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,3,0,2,0,0,0,0,0,1,0,0,0,JUNI,2024
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,1,0,0,1,0,0,0,0,0,0,0,0,JUNI,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,2,0,0,1,1,0,0,0,0,0,0,0,JUNI,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,6,0,0,0,1,5,0,0,0,0,0,0,JUNI,2024
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,7,0,0,1,5,0,0,0,1,0,0,0,JUNI,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,6,0,0,0,0,0,0,0,6,0,0,0,JUNI,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,0,0,0,0,0,0,0,0,0,0,0,0,JUNI,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,1,0,0,1,0,0,0,0,0,0,0,0,JULI,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,5,0,0,0,5,0,0,0,0,0,0,0,JULI,2024
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,7,2,0,4,0,1,0,0,0,0,0,0,JULI,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,19,0,0,0,0,0,0,0,0,17,0,2,JULI,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,5,0,0,1,0,0,1,0,3,0,0,0,JULI,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,3,0,0,1,0,0,0,0,2,0,0,0,JULI,2024
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,7,0,1,1,2,0,0,0,3,0,0,0,JULI,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,4,0,1,1,0,0,1,0,0,1,0,0,JULI,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,2,0,1,1,0,0,0,0,0,0,0,0,JULI,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,3,0,0,2,0,0,0,0,1,0,0,0,JULI,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,1,0,0,1,0,0,0,0,0,0,0,0,JULI,2024
MAMASA,TABANG,760301004,Pustu Kalama,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,2,0,0,0,0,0,0,0,2,0,0,0,JULI,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,8,0,0,3,0,2,0,2,1,0,0,0,JULI,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,20,0,0,10,3,0,1,2,4,0,0,0,JULI,2024
MAMASA,PANA,760300401,PUSTU MANIPI',0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,5,0,0,1,1,0,0,0,3,0,0,0,JULI,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,5,0,3,1,0,0,0,0,1,0,0,0,JULI,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,9,0,0,4,5,0,0,0,0,0,0,0,JULI,2024
MAMUJU,SIMBORO,7602005,PUSKESMAS RANGAS,9,0,2,3,1,1,0,2,0,0,0,0,JULI,2024
MAMUJU,SIMBORO,760200407,POSKESDES PATIDDI,4,0,0,0,2,0,0,0,2,0,0,0,JULI,2024
MAMUJU,PAPALANG,7602012,PUSKESMAS TOPORE,4,0,0,4,0,0,0,0,0,0,0,0,JULI,2024
MAMASA,NOSU,760301305,PUSTU MASEWE,2,0,0,0,2,0,0,0,0,0,0,0,JULI,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,3,0,0,0,0,2,0,1,0,0,0,0,JULI,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,4,0,0,0,0,0,0,4,0,0,0,0,JULI,2024
MAJENE,PAMBOANG,760500518,PUSTU SIRINDU,1,0,0,0,1,0,0,0,0,0,0,0,JULI,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAMASA,MAMBI,760300101,Pustu Sendana,4,0,2,0,0,1,1,0,0,0,0,0,JULI,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,2,0,0,0,0,0,1,0,1,0,0,0,JULI,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,4,0,0,2,0,0,0,0,2,0,0,0,JULI,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,1,0,0,1,0,0,0,0,0,0,0,0,JULI,2024
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,1,0,0,0,0,0,1,0,0,0,0,0,JULI,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,8,0,0,5,1,2,0,0,0,0,0,0,JULI,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",1,0,0,0,0,0,0,0,0,1,0,0,JULI,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,2,0,0,1,1,0,0,0,0,0,0,0,JULI,2024
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,4,0,0,2,0,0,0,0,2,0,0,0,JULI,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,6,1,0,2,2,0,0,0,1,0,0,0,JULI,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,3,1,1,0,0,1,0,0,0,0,0,0,JULI,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,2,0,0,1,0,1,0,0,0,0,0,0,JULI,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,2,0,0,1,0,0,1,0,0,0,0,0,JULI,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,JULI,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,2,0,1,1,0,0,0,0,0,0,0,0,JULI,2024
MAMUJU TENGAH,BUDONG-BUDONG,760600404,pustu barakkang,1,0,0,0,1,0,0,0,0,0,0,0,AGUSTUS,2024
PASANGKAYU,DAPURANG,760101404,Polindes Tabalia,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
PASANGKAYU,BAMBALAMOTU,760100313,Pustu Sawi,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
PASANGKAYU,BAMBALAMOTU,760100307,Poskesdes Hikma,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,TOPOYO,760600804,PUSTU TABOLANG,4,0,0,2,0,0,0,0,2,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,TOPOYO,760600801,PUSTU BAMBAMANURUNG,1,0,0,1,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMASA,ARALLE,760300202,POSKESDES UHAILANU,4,0,0,1,0,3,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,KAROSSA,7606010,Puskesmas lara,2,0,1,1,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,KAROSSA,760601002,pustu salubiro,1,0,0,1,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAJENE,TUBO SENDANA,760501108,"PRAKTEK MANDIRI BIDAN NURAENI, S.ST,",3,0,0,0,1,0,1,0,0,1,0,0,AGUSTUS,2024
MAJENE,SENDANA,760501314,PUSTU TALLU BANUA,5,0,0,1,0,0,0,0,3,1,0,0,AGUSTUS,2024
MAJENE,SENDANA,760501315,POSKESDES TULLU BULAN,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAJENE,SENDANA,760501307,PUSTU PUNDAU,5,0,2,1,0,1,0,0,1,0,0,0,AGUSTUS,2024
MAJENE,PAMBOANG,760500518,PUSTU SIRINDU,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAJENE,ULUMANDA,760501002,PUSTU ULUMANDA,10,0,0,6,1,1,2,0,0,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,ALLU,760402103,POSKESDES PAO - PAO,4,0,3,1,0,0,0,0,0,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,WONOMULYO,7604029,PUSKESMAS WONOMULYO,4,0,0,0,0,0,0,0,1,3,0,0,AGUSTUS,2024
MAMASA,MAMASA,7603020,RUMAH SAKIT BANUA MAMASE,3,0,0,0,0,0,0,0,2,1,0,0,AGUSTUS,2024
MAJENE,TAMMERODO SENDANA,760500604,Poskesdes Waigamo,1,0,0,1,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMASA,BUNTUMALANGKA,760301603,PUSTU PENATANGAN,1,0,0,0,0,1,0,0,0,0,0,0,AGUSTUS,2024
MAMASA,MAMBI,760300101,Pustu Sendana,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU,PAPALANG,7602012,PUSKESMAS TOPORE,3,0,0,0,1,0,0,0,2,0,0,0,AGUSTUS,2024
MAMASA,NOSU,760301305,PUSTU MASEWE,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU,TAPALANG BARAT,7602019,Puskesmas Dungkait,1,0,1,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAJENE,MALUNDA,760500806,PUSTU BAMBANGAN,4,0,1,3,0,0,0,0,0,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,TUTAR,760402201,POSKESDES RATTE,3,0,0,0,0,0,0,0,3,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,7,0,0,4,0,2,1,0,0,0,0,0,AGUSTUS,2024
MAMASA,PANA,760300401,PUSTU MANIPI',1,0,1,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU,SIMBORO,7602005,PUSKESMAS RANGAS,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU,SIMBORO,760200407,POSKESDES PATIDDI,4,0,0,2,0,0,1,0,1,0,0,0,AGUSTUS,2024
MAMUJU,KALUKKU,7602020,Puskesmas Tampa Padang,2,0,0,0,0,0,0,2,0,0,0,0,AGUSTUS,2024
MAMUJU,KALUKKU,7602022,Puskesmas Ranga- Ranga,2,0,0,1,0,0,1,0,0,0,0,0,AGUSTUS,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,PANGALE,760600205,Poskesdes Lamba- lamba,1,0,0,0,0,0,0,0,1,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,PANGALE,760600204,Pustu Kombiling,6,0,0,1,0,0,0,0,5,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,TOBADAK,760600501,PUSTU TOBADAK,6,0,0,2,0,2,0,0,2,0,0,0,AGUSTUS,2024
MAMUJU TENGAH,TOBADAK,760600502,PUSTU POLONGAAN,3,0,0,0,0,3,0,0,0,0,0,0,AGUSTUS,2024
PASANGKAYU,SARUDU,760101201,Pustu Kumasari,1,0,0,1,0,0,0,0,0,0,0,0,AGUSTUS,2024
PASANGKAYU,TIKKE RAYA,760100704,POSKESDES PAJALELE,3,0,0,1,0,0,0,2,0,0,0,0,AGUSTUS,2024
PASANGKAYU,PASANGKAYU,7601016,RSUD Kabupaten Pasangkayu,41,0,0,1,0,0,0,0,0,27,0,13,AGUSTUS,2024
MAMASA,TAWALIAN,760301401,PUSTU TAWALIAN TIMUR,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,CAMPALAGIAN,7604010,PUSKESMAS CAMPALAGIAN,11,0,0,4,0,3,1,0,3,0,0,0,AGUSTUS,2024
MAMUJU,TAPALANG,760202603,Poskesdes Kasambang,0,0,0,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
MAMASA,TABANG,760301004,Pustu Kalama,2,0,0,1,0,1,0,0,0,0,0,0,AGUSTUS,2024
MAMUJU,MAMUJU,7602009,PUSKESMAS BAMBU,10,0,0,4,0,0,0,3,0,1,0,2,AGUSTUS,2024
POLEWALI MANDAR,POLEWALI,760404703,PUSTU TAKATIDUNG,19,0,1,1,1,10,1,0,5,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,LUYO,760403417,PUSTU BATUPANGA DAALA,3,0,3,0,0,0,0,0,0,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,MAPILLI,760402807,PUSTU RUMPA,4,0,0,0,0,0,0,0,4,0,0,0,AGUSTUS,2024
PASANGKAYU,LARIANG,760100804,POSKESDES BAMBAKORO,1,0,0,1,0,0,0,0,0,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,MATAKALI,760403803,PUSTU PATAMPANUA,1,0,0,0,0,0,0,0,1,0,0,0,AGUSTUS,2024
POLEWALI MANDAR,BULO,760403705,Poskesdes Pulliwa,3,0,0,0,0,0,2,0,1,0,0,0,SEPTEMBER,2024
MAMUJU,BONEHAU,7602030,PKM Bonehau Mesa Kada,2,0,0,0,0,0,0,1,1,0,0,0,SEPTEMBER,2024
